PanelName,HoleName,X,Y,Diameter,Depth
CorpusSideLeft,confirmat_bottom_1,9.5,50,4,19
CorpusSideLeft,confirmat_bottom_2,9.5,180,4,19
CorpusSideLeft,confirmat_top_1,2290.5,50,4,19
CorpusSideLeft,confirmat_top_2,2290.5,180,4,19
CorpusSideLeft,confirmat_middle_1,1298.5,50,4,19
CorpusSideLeft,confirmat_middle_2,1298.5,180,4,19
CorpusSideLeft,confirmat_shelf_0_1,1629.17,50,4,19
CorpusSideLeft,confirmat_shelf_0_2,1629.17,180,4,19
CorpusSideLeft,confirmat_shelf_1_1,1959.83,50,4,19
CorpusSideLeft,confirmat_shelf_1_2,1959.83,180,4,19
CorpusSideLeft,slide_pilot_0_0,101.5,6.5,2.5,2
CorpusSideLeft,slide_pilot_0_1,101.5,35,2.5,2
CorpusSideLeft,slide_pilot_0_2,101.5,51,2.5,2
CorpusSideLeft,slide_pilot_0_3,101.5,76,2.5,2
CorpusSideLeft,slide_pilot_0_4,101.5,99,2.5,2
CorpusSideLeft,slide_pilot_0_5,101.5,115,2.5,2
CorpusSideLeft,slide_pilot_1_0,311.5,6.5,2.5,2
CorpusSideLeft,slide_pilot_1_1,311.5,35,2.5,2
CorpusSideLeft,slide_pilot_1_2,311.5,51,2.5,2
CorpusSideLeft,slide_pilot_1_3,311.5,76,2.5,2
CorpusSideLeft,slide_pilot_1_4,311.5,99,2.5,2
CorpusSideLeft,slide_pilot_1_5,311.5,115,2.5,2
CorpusSideLeft,slide_pilot_2_0,521.5,6.5,2.5,2
CorpusSideLeft,slide_pilot_2_1,521.5,35,2.5,2
CorpusSideLeft,slide_pilot_2_2,521.5,51,2.5,2
CorpusSideLeft,slide_pilot_2_3,521.5,76,2.5,2
CorpusSideLeft,slide_pilot_2_4,521.5,99,2.5,2
CorpusSideLeft,slide_pilot_2_5,521.5,115,2.5,2
CorpusSideLeft,slide_pilot_3_0,731.5,6.5,2.5,2
CorpusSideLeft,slide_pilot_3_1,731.5,35,2.5,2
CorpusSideLeft,slide_pilot_3_2,731.5,51,2.5,2
CorpusSideLeft,slide_pilot_3_3,731.5,76,2.5,2
CorpusSideLeft,slide_pilot_3_4,731.5,99,2.5,2
CorpusSideLeft,slide_pilot_3_5,731.5,115,2.5,2
CorpusSideLeft,slide_pilot_4_0,941.5,6.5,2.5,2
CorpusSideLeft,slide_pilot_4_1,941.5,35,2.5,2
CorpusSideLeft,slide_pilot_4_2,941.5,51,2.5,2
CorpusSideLeft,slide_pilot_4_3,941.5,76,2.5,2
CorpusSideLeft,slide_pilot_4_4,941.5,99,2.5,2
CorpusSideLeft,slide_pilot_4_5,941.5,115,2.5,2
CorpusSideLeft,slide_pilot_5_0,1151.5,6.5,2.5,2
CorpusSideLeft,slide_pilot_5_1,1151.5,35,2.5,2
CorpusSideLeft,slide_pilot_5_2,1151.5,51,2.5,2
CorpusSideLeft,slide_pilot_5_3,1151.5,76,2.5,2
CorpusSideLeft,slide_pilot_5_4,1151.5,99,2.5,2
CorpusSideLeft,slide_pilot_5_5,1151.5,115,2.5,2
