PanelName,HoleName,X,Y,Z,Diameter,Depth
CorpusSideLeft,confirmat_bottom_1,2291,50,0,4,18
CorpusSideLeft,confirmat_bottom_2,2291,180,0,4,18
CorpusSideLeft,confirmat_top_1,9,50,0,4,18
CorpusSideLeft,confirmat_top_2,9,180,0,4,18
CorpusSideLeft,confirmat_middle_1,1003,50,0,4,18
CorpusSideLeft,confirmat_middle_2,1003,180,0,4,18
CorpusSideLeft,confirmat_shelf_0_1,671.667,50,0,4,18
CorpusSideLeft,confirmat_shelf_0_2,671.667,180,0,4,18
CorpusSideLeft,confirmat_shelf_1_1,340.333,50,0,4,18
CorpusSideLeft,confirmat_shelf_1_2,340.333,180,0,4,18
CorpusSideLeft,slide_pilot_0_0,2199.5,6.5,0,2.5,2
CorpusSideLeft,slide_pilot_0_1,2199.5,35,0,2.5,2
CorpusSideLeft,slide_pilot_0_2,2199.5,51,0,2.5,2
CorpusSideLeft,slide_pilot_0_3,2199.5,76,0,2.5,2
CorpusSideLeft,slide_pilot_0_4,2199.5,99,0,2.5,2
CorpusSideLeft,slide_pilot_0_5,2199.5,115,0,2.5,2
CorpusSideLeft,slide_pilot_1_0,1989.5,6.5,0,2.5,2
CorpusSideLeft,slide_pilot_1_1,1989.5,35,0,2.5,2
CorpusSideLeft,slide_pilot_1_2,1989.5,51,0,2.5,2
CorpusSideLeft,slide_pilot_1_3,1989.5,76,0,2.5,2
CorpusSideLeft,slide_pilot_1_4,1989.5,99,0,2.5,2
CorpusSideLeft,slide_pilot_1_5,1989.5,115,0,2.5,2
CorpusSideLeft,slide_pilot_2_0,1779.5,6.5,0,2.5,2
CorpusSideLeft,slide_pilot_2_1,1779.5,35,0,2.5,2
CorpusSideLeft,slide_pilot_2_2,1779.5,51,0,2.5,2
CorpusSideLeft,slide_pilot_2_3,1779.5,76,0,2.5,2
CorpusSideLeft,slide_pilot_2_4,1779.5,99,0,2.5,2
CorpusSideLeft,slide_pilot_2_5,1779.5,115,0,2.5,2
CorpusSideLeft,slide_pilot_3_0,1569.5,6.5,0,2.5,2
CorpusSideLeft,slide_pilot_3_1,1569.5,35,0,2.5,2
CorpusSideLeft,slide_pilot_3_2,1569.5,51,0,2.5,2
CorpusSideLeft,slide_pilot_3_3,1569.5,76,0,2.5,2
CorpusSideLeft,slide_pilot_3_4,1569.5,99,0,2.5,2
CorpusSideLeft,slide_pilot_3_5,1569.5,115,0,2.5,2
CorpusSideLeft,slide_pilot_4_0,1359.5,6.5,0,2.5,2
CorpusSideLeft,slide_pilot_4_1,1359.5,35,0,2.5,2
CorpusSideLeft,slide_pilot_4_2,1359.5,51,0,2.5,2
CorpusSideLeft,slide_pilot_4_3,1359.5,76,0,2.5,2
CorpusSideLeft,slide_pilot_4_4,1359.5,99,0,2.5,2
CorpusSideLeft,slide_pilot_4_5,1359.5,115,0,2.5,2
CorpusSideLeft,slide_pilot_5_0,1149.5,6.5,0,2.5,2
CorpusSideLeft,slide_pilot_5_1,1149.5,35,0,2.5,2
CorpusSideLeft,slide_pilot_5_2,1149.5,51,0,2.5,2
CorpusSideLeft,slide_pilot_5_3,1149.5,76,0,2.5,2
CorpusSideLeft,slide_pilot_5_4,1149.5,99,0,2.5,2
CorpusSideLeft,slide_pilot_5_5,1149.5,115,0,2.5,2
