PanelName,HoleName,X,Y,Z,Diameter,Depth
CorpusSideRight,confirmat_bottom_1,9,50,0,4,18
CorpusSideRight,confirmat_bottom_2,9,180,0,4,18
CorpusSideRight,confirmat_top_1,2291,50,0,4,18
CorpusSideRight,confirmat_top_2,2291,180,0,4,18
CorpusSideRight,confirmat_middle_1,1297,50,0,4,18
CorpusSideRight,confirmat_middle_2,1297,180,0,4,18
CorpusSideRight,confirmat_shelf_0_1,1628.33,50,0,4,18
CorpusSideRight,confirmat_shelf_0_2,1628.33,180,0,4,18
CorpusSideRight,confirmat_shelf_1_1,1959.67,50,0,4,18
CorpusSideRight,confirmat_shelf_1_2,1959.67,180,0,4,18
CorpusSideRight,slide_pilot_0_0,100.5,6.5,0,2.5,2
CorpusSideRight,slide_pilot_0_1,100.5,35,0,2.5,2
CorpusSideRight,slide_pilot_0_2,100.5,51,0,2.5,2
CorpusSideRight,slide_pilot_0_3,100.5,76,0,2.5,2
CorpusSideRight,slide_pilot_0_4,100.5,99,0,2.5,2
CorpusSideRight,slide_pilot_0_5,100.5,115,0,2.5,2
CorpusSideRight,slide_pilot_1_0,310.5,6.5,0,2.5,2
CorpusSideRight,slide_pilot_1_1,310.5,35,0,2.5,2
CorpusSideRight,slide_pilot_1_2,310.5,51,0,2.5,2
CorpusSideRight,slide_pilot_1_3,310.5,76,0,2.5,2
CorpusSideRight,slide_pilot_1_4,310.5,99,0,2.5,2
CorpusSideRight,slide_pilot_1_5,310.5,115,0,2.5,2
CorpusSideRight,slide_pilot_2_0,520.5,6.5,0,2.5,2
CorpusSideRight,slide_pilot_2_1,520.5,35,0,2.5,2
CorpusSideRight,slide_pilot_2_2,520.5,51,0,2.5,2
CorpusSideRight,slide_pilot_2_3,520.5,76,0,2.5,2
CorpusSideRight,slide_pilot_2_4,520.5,99,0,2.5,2
CorpusSideRight,slide_pilot_2_5,520.5,115,0,2.5,2
CorpusSideRight,slide_pilot_3_0,730.5,6.5,0,2.5,2
CorpusSideRight,slide_pilot_3_1,730.5,35,0,2.5,2
CorpusSideRight,slide_pilot_3_2,730.5,51,0,2.5,2
CorpusSideRight,slide_pilot_3_3,730.5,76,0,2.5,2
CorpusSideRight,slide_pilot_3_4,730.5,99,0,2.5,2
CorpusSideRight,slide_pilot_3_5,730.5,115,0,2.5,2
CorpusSideRight,slide_pilot_4_0,940.5,6.5,0,2.5,2
CorpusSideRight,slide_pilot_4_1,940.5,35,0,2.5,2
CorpusSideRight,slide_pilot_4_2,940.5,51,0,2.5,2
CorpusSideRight,slide_pilot_4_3,940.5,76,0,2.5,2
CorpusSideRight,slide_pilot_4_4,940.5,99,0,2.5,2
CorpusSideRight,slide_pilot_4_5,940.5,115,0,2.5,2
CorpusSideRight,slide_pilot_5_0,1150.5,6.5,0,2.5,2
CorpusSideRight,slide_pilot_5_1,1150.5,35,0,2.5,2
CorpusSideRight,slide_pilot_5_2,1150.5,51,0,2.5,2
CorpusSideRight,slide_pilot_5_3,1150.5,76,0,2.5,2
CorpusSideRight,slide_pilot_5_4,1150.5,99,0,2.5,2
CorpusSideRight,slide_pilot_5_5,1150.5,115,0,2.5,2
