PanelName,HoleName,X,Y,Z,Diameter,Depth
DrawerFrontStandard,left_side_1,41.5,50,0,6,10
DrawerFrontStandard,left_side_2,41.5,157,0,6,10
DrawerFrontStandard,right_side_1,555.5,50,0,6,10
DrawerFrontStandard,right_side_2,555.5,157,0,6,10
DrawerFrontStandard,bottom_panel_1,91.5,6,0,6,10
DrawerFrontStandard,bottom_panel_2,505.5,6,0,6,10
DrawerFrontStandard,bottom_panel_3,229.5,6,0,6,10
DrawerFrontStandard,bottom_panel_4,367.5,6,0,6,10
DrawerFrontStandard,handle_1,218.5,103,0,4,18
DrawerFrontStandard,handle_2,378.5,103,0,4,18
