PanelName,HoleName,X,Y,Z,Diameter,Depth
CorpusSideLeft,confirmat_bottom_1,2290.5,50,0,4,19
CorpusSideLeft,confirmat_bottom_2,2290.5,180,0,4,19
CorpusSideLeft,confirmat_top_1,9.5,50,0,4,19
CorpusSideLeft,confirmat_top_2,9.5,180,0,4,19
CorpusSideLeft,confirmat_middle_1,1001.5,50,0,4,19
CorpusSideLeft,confirmat_middle_2,1001.5,180,0,4,19
CorpusSideLeft,confirmat_shelf_0_1,670.833,50,0,4,19
CorpusSideLeft,confirmat_shelf_0_2,670.833,180,0,4,19
CorpusSideLeft,confirmat_shelf_1_1,340.167,50,0,4,19
CorpusSideLeft,confirmat_shelf_1_2,340.167,180,0,4,19
CorpusSideLeft,slide_pilot_0_0,2198.5,6.5,0,2.5,2
CorpusSideLeft,slide_pilot_0_1,2198.5,35,0,2.5,2
CorpusSideLeft,slide_pilot_0_2,2198.5,51,0,2.5,2
CorpusSideLeft,slide_pilot_0_3,2198.5,76,0,2.5,2
CorpusSideLeft,slide_pilot_0_4,2198.5,99,0,2.5,2
CorpusSideLeft,slide_pilot_0_5,2198.5,115,0,2.5,2
CorpusSideLeft,slide_pilot_1_0,1988.5,6.5,0,2.5,2
CorpusSideLeft,slide_pilot_1_1,1988.5,35,0,2.5,2
CorpusSideLeft,slide_pilot_1_2,1988.5,51,0,2.5,2
CorpusSideLeft,slide_pilot_1_3,1988.5,76,0,2.5,2
CorpusSideLeft,slide_pilot_1_4,1988.5,99,0,2.5,2
CorpusSideLeft,slide_pilot_1_5,1988.5,115,0,2.5,2
CorpusSideLeft,slide_pilot_2_0,1778.5,6.5,0,2.5,2
CorpusSideLeft,slide_pilot_2_1,1778.5,35,0,2.5,2
CorpusSideLeft,slide_pilot_2_2,1778.5,51,0,2.5,2
CorpusSideLeft,slide_pilot_2_3,1778.5,76,0,2.5,2
CorpusSideLeft,slide_pilot_2_4,1778.5,99,0,2.5,2
CorpusSideLeft,slide_pilot_2_5,1778.5,115,0,2.5,2
CorpusSideLeft,slide_pilot_3_0,1568.5,6.5,0,2.5,2
CorpusSideLeft,slide_pilot_3_1,1568.5,35,0,2.5,2
CorpusSideLeft,slide_pilot_3_2,1568.5,51,0,2.5,2
CorpusSideLeft,slide_pilot_3_3,1568.5,76,0,2.5,2
CorpusSideLeft,slide_pilot_3_4,1568.5,99,0,2.5,2
CorpusSideLeft,slide_pilot_3_5,1568.5,115,0,2.5,2
CorpusSideLeft,slide_pilot_4_0,1358.5,6.5,0,2.5,2
CorpusSideLeft,slide_pilot_4_1,1358.5,35,0,2.5,2
CorpusSideLeft,slide_pilot_4_2,1358.5,51,0,2.5,2
CorpusSideLeft,slide_pilot_4_3,1358.5,76,0,2.5,2
CorpusSideLeft,slide_pilot_4_4,1358.5,99,0,2.5,2
CorpusSideLeft,slide_pilot_4_5,1358.5,115,0,2.5,2
CorpusSideLeft,slide_pilot_5_0,1148.5,6.5,0,2.5,2
CorpusSideLeft,slide_pilot_5_1,1148.5,35,0,2.5,2
CorpusSideLeft,slide_pilot_5_2,1148.5,51,0,2.5,2
CorpusSideLeft,slide_pilot_5_3,1148.5,76,0,2.5,2
CorpusSideLeft,slide_pilot_5_4,1148.5,99,0,2.5,2
CorpusSideLeft,slide_pilot_5_5,1148.5,115,0,2.5,2
